Year;Code;1.a.2 health-expenditure-government-expenditure;2.3.1 agriculture-value-added-per-worker-wdi;3.8.1 healthcare-access-and-quality-index;4.3.1 gross-enrollment-ratio-in-tertiary-education;5.5.1 seats-held-by-women-in-national-parliament;6.4.1 water-productivity;7.2.1 renewables-share-final-energy;7.3.1 energy-intensity-of-economie;8.1.1 gdp-per-capita-worldbank;9.2.2 industry-share-of-total-emplyoment;9.4.1 cco2-intensity;9.5.2 researchers-in-rd-per-million-people;11.6.2 PM25-air-pollution;12.2.2 domestic-material-consumption-per-capita;12.5.1 municipal-waste-recycled;13.2.1 co-emissions-per-capita;15.1.1 forest-area-as-share-of-land-area;16.1.1 intentional-homicides-per-100000-people
2018;AFG;;;;;;;;;2033.80438893717;;;;;;;0.281197299;1.8509940875532276;6.6555611518
2019;AFG;;;;;27.8688524590164;;;;2065.03623501599;;;;;;;0.281802534;1.8509940875532276;
2020;AFG;;;;;27.0161290322581;;;;1978.96157872183;;;;;;;;1.8509940875532276;
2000;ALB;7.07697796;2322.72444567851;68.5;15.6037302017212;5.16129032258065;;41.4454155743781;1.3070670053144815;5893.13623256329;15.094;0.183211039;;21.998248157076;5.95367;;0.960204538;28.076642335766422;4.1863119742
2001;ALB;7.25259439;2466.53069139476;;15.9749603271484;5.71428571428571;;39.1256637546099;1.2342618959348963;6441.85345238676;15.364;0.189988961;;;6.60614;;1.028963578;28.12324817518248;7.0294254946
2002;ALB;7.19203721;2536.91552376405;;16.4317092895508;5.71428571428571;4.71968277501313;35.8962940284486;1.304712379320771;6754.53600301332;16.02;0.219996698;;;6.5929;;1.19906334;28.16985401459854;6.9093843834
2003;ALB;7.76289649;2653.3656410568;;16.8055591583252;5.71428571428571;;33.7527288306467;1.2067724138040394;7154.78482512179;16.704;0.237118218;;;7.58125;;1.35725465;28.2164598540146;5.3238965663
2004;ALB;9.17533619;2896.49863800368;;20.0555400848389;6.42857142857143;;35.935868087458;1.2547752744541776;7580.62909108667;17.134;0.220713458;;;9.84983;;1.321636071;28.26306569343065;4.2191470044
2005;ALB;9.66766224;3015.12213756561;71.6;23.3111000061035;7.14285714285714;;36.8694891867287;1.1876999870821294;8040.87871678112;17.768;0.213231276;;21.5752579644029;9.00571;;1.360202138;28.309671532846718;4.9889691947
2006;ALB;9.04057427;3190.93635231508;;26.6204395294189;7.14285714285714;;31.7101954257698;1.0996378420374422;8569.19111251045;18.124;0.179510356;;;8.73693;;1.254827294;28.35627737226277;3.1015131793
2007;ALB;8.88017452;3519.36579596079;;30.6536693572998;7.14285714285714;8.16335983584019;32.1009372127814;0.9911953292764236;9150.51874704368;18.41;0.166502143;;;7.47325;;1.261990771;28.40288321167883;3.4607858357
2008;ALB;8.36560747;3850.50535233643;;32.0778007507324;7.14285714285714;;35.9129061124767;0.9562961479177732;9912.57724242974;19.673;0.16581612;157.343643188477;;8.27131;;1.422652015;28.449489051094893;3.0972300439
2009;ALB;8.46326188;4269.08086308228;;33.400749206543;16.4285714285714;;37.2166378004051;0.9469743529948932;10313.926441304;19.943;0.151889748;;;10.85959;;1.43084561;28.496094890510943;2.8590226044
2010;ALB;8.46326188;4638.51790479446;75.3;44.5406494140625;16.4285714285714;;37.1153297675702;0.9046530116185582;10749.4874481658;19.927;0.15944478;;21.2778281243428;7.99921;;1.508852103;28.54270072992701;4.3079630492
2011;ALB;9.85079071;4518.23432758808;;49.6703987121582;15.7142857142857;;35.9625316031337;0.923001006920912;11052.7904635136;18.92;0.176812598;;22.7725366537911;8.06013;;1.717539092;28.594653284671534;4.8487315274
2012;ALB;9.71053128;4346.75124417778;;58.5654907226563;15.7142857142857;10.3764276437247;40.048299596384;0.8170349915488176;11227.9944871972;17.344;0.150023243;;20.5782591769838;8.28441;;1.601899794;28.646605839416058;5.3876148686
2013;ALB;9.76242119;5065.87074984439;;62.5477600097656;17.8571428571429;;41.2889737241069;0.9395919985484754;11361.2936763788;18.087;0.161120262;;19.9385171053378;8.22962;;1.696997245;28.698558394160585;4.2702841943
2014;ALB;9.36900452;5401.26752111874;;62.7068481445313;20.0;;38.6895007576277;0.8774670779238926;11586.8637666424;18.151;0.173542706;;18.8839549651717;9.4036;;1.94080663;28.750510948905102;4.0396270147
2015;ALB;;5374.47636977248;78.2;;20.7142857142857;;38.6152104692153;0.8018371643547656;11878.4880933446;18.06;0.136417898;;19.5125396228106;9.61078;;1.567750951;28.802463503649637;2.214131417
2016;ALB;;5442.40884963306;;;22.8571428571429;;;;12291.8733773928;18.196;0.130874132;;18.1899337514472;9.85798;;1.55777131;28.80036496350365;2.7369477905
2017;ALB;;5446.58736850069;;;27.8571428571429;11.7654776015105;;;12770.9750370811;18.318;;;18.2006025215914;10.13229;;1.873925104;28.798266423357667;2.0109778588
2018;ALB;;;;;27.8571428571429;;;;13323.7533559132;;;;;;;1.874089143;28.79616788321168;2.2894924438
2019;ALB;;;;;29.5081967213115;;;;13671.4884222978;;;;;;;1.936485595;28.794069343065694;
2020;ALB;;;;;29.5081967213115;;;;13295.4108845409;;;;;;;;28.791970802919707;
2000;DZA;8.79335148;5111.85851566053;56.2;;3.42105263157895;;0.427372239562088;0.9859565084136036;8710.45514928455;23.879;0.346994774;;37.5360503002013;4.77016;;2.816915244;0.6629604142515916;
2001;DZA;8.53556126;5483.97282207322;;15.5634603500366;3.42105263157895;;0.427684983581889;0.9591886198523236;8855.02018576846;24.2;0.332462992;;;4.86908;;2.663763004;0.6771936999027183;
2002;DZA;8.37185157;5307.44568081473;;17.2721099853516;6.16966580976864;19.8755254491825;0.514766169298285;0.9715973330293808;9232.42752284659;24.458;0.336115492;;;5.29904;;2.80667779;0.6914269855538449;
2003;DZA;8.50323435;5881.1998476443;;18.4730701446533;6.16966580976864;;0.469092389566764;0.9632170996616912;9771.68485621459;24.024;0.315045651;;;5.92225;;2.82197474;0.7056602712049714;2.01461938
2004;DZA;8.48441296;5710.42652418826;;19.0433597564697;6.16966580976864;;0.441740736446853;0.9349812825240305;10058.4390154947;26.052;0.285237344;;;5.8851;;2.687296647;0.719893556856098;1.3734182634
2005;DZA;8.19110067;5934.91567826564;59.6;20.7614707946777;6.16966580976864;;0.584727486990107;0.919395800826969;10504.8584676293;27.097;0.300771723;168.120086669922;35.8588265111515;5.99959;;3.211860935;0.7341268425072247;0.61538981325
2006;DZA;7.80450045;6077.30043881264;;21.2300395965576;6.16966580976864;;0.40872736909712;0.968049992540172;10527.4220783457;28.145;0.259588503;;;6.5375;;2.978542909;0.7483601281583514;0.9274395383
2007;DZA;8.14056074;6476.68564301506;;23.4881896972656;7.7120822622108;21.5922785544493;0.411409249680193;0.9934862684840234;10717.7844636359;29.471;0.272361741;;;6.885;;3.172651184;0.762593413809478;0.79316355068
2008;DZA;8.07079154;6237.83632123102;;;7.7120822622108;;0.298765661995095;0.981653034979072;10796.9025638468;30.616;0.257758492;;;7.22584;;3.139323429;0.7768266994606046;0.94441202347
2009;DZA;9.00945409;7631.43133207578;;29.8187198638916;7.7120822622108;;0.311808048810447;1.056670753351232;10782.3610927014;33.577;0.306596592;;;7.85142;;3.401422539;0.7910599851117313;0.78395009074
2010;DZA;9.64613475;8234.96979747227;62.2;29.8345603942871;7.7120822622108;;0.258071761617743;1.0030196754057512;10970.7063686682;33.894;0.262977864;;33.6358202624012;7.87995;;3.27470559;0.805293270762858;0.7059977651
2011;DZA;9.3656612;9444.28616227874;;31.2025909423828;7.96915167095116;;0.177339472170288;1.0168409905865834;11078.2423287826;32.683;0.24856199;;33.8340477410328;7.71787;;3.267965386;0.8084842138586857;0.76374527371
2012;DZA;9.98819159;10764.9003797964;;32.231330871582;31.6017316017316;21.9900412161096;0.188181413152951;1.0809436350851358;11233.53132033;33.727;0.259857919;;33.3668262043692;8.10548;;3.426865878;0.8116751569545135;1.3989980018
2013;DZA;9.94780509;13006.6178329402;;33.9657592773438;31.6017316017316;;0.140451784823769;1.0884317904412664;11319.0970588002;34.379;0.268630081;;34.2453279072063;8.32734;;3.472329051;0.8148661000503413;1.2585167829
2014;DZA;9.90462275;12825.1069776359;;34.5938110351563;31.6017316017316;;0.0686404751413344;1.1395442964471525;11512.7051094875;34.801;0.289920662;;35.563917177565;8.5096;;3.67949869;0.8180570431461691;1.4823877943
2015;DZA;;14065.123845552;63.7;;31.6017316017316;;0.0589586840918149;1.1479737976355036;11696.9652290603;35.124;0.293991441;;36.0891635653848;8.67561;;3.796254757;0.8212479862419969;1.3642763974
2016;DZA;;14368.5509828937;;;31.6017316017316;;;;11826.1664161029;34.643;0.278724811;;39.853273847241;8.8422;;3.670416241;0.8206601809348707;
2017;DZA;;14224.817842266;;;25.7575757575758;20.2425077904073;;;11737.4161588301;34.508;;;38.8840106983002;9.00822;;3.707467226;0.8200723756277445;
2018;DZA;;;;;25.7575757575758;;;;11642.1983450506;;;;;;;3.891003481;0.8194845703206184;
2019;DZA;;;;;25.7575757575758;;;;11510.5570882585;;;;;;;3.988271224;0.8188967650134922;
2020;DZA;;;;;25.7575757575758;;;;10681.6792969827;;;;;;;;0.818308959706366;
2000;AGO;2.86214414;;31.2;;15.4545454545455;;74.6181714427266;1.4495236292315925;4727.96631394756;38.191;0.520797585;;36.182967879889;2.44817;;0.580363586;62.3314430095452;
2001;AGO;5.77495563;;;;15.4545454545455;;73.7578589617145;1.4520145790413312;4766.83673589953;39.093;0.449151101;;;2.89424;;0.570725776;61.886218817678674;
2002;AGO;3.37718946;;;0.796679973602295;15.4545454545455;64.2512969621853;72.1251264392252;1.6323659718602526;5240.8394329332;38.249;0.505220006;;;2.99662;;0.719079;61.44099462581214;
2003;AGO;4.61274675;;;2.95167994499207;15.4545454545455;;67.3061167192922;1.6736456975512952;5218.20771212651;37.929;0.346609467;;;3.1884;;0.496019425;60.995770433945616;
2004;AGO;6.25413121;;;2.21985006332397;15.0;;65.493064622132;1.5529813551545042;5593.24362419081;38.092;0.588512704;;;3.26874;;0.997010982;60.550546242079086;
2005;AGO;6.08001916;;35.6;2.74878001213074;15.0;;70.9542023585248;1.2690384011793006;6210.2221878264;38.001;0.437336456;;34.9629120527896;3.58031;;0.977998868;60.10532205021255;
2006;AGO;9.56466881;;;2.69178009033203;15.0;;65.022564178086;1.1532324847290945;6681.10102767941;38.432;0.364679697;;;3.94642;;1.096893648;59.66009785834604;
2007;AGO;6.4167073;;;;15.0;101.44216164854;61.5997035024139;1.003410006844316;7341.86519904765;37.879;0.343320455;;;4.27824;;1.194743076;59.21487366647951;
